ksp_type,pc_type,response,min1,min5,min15,proc
tcqmr,jacobi,134.22,42.09,38.61,38.78,4/3440
cgs,jacobi,13.649,40.9,38.53,38.74,1/3441
bcgs,jacobi,12.496,39.61,38.36,38.68,1/3442
tfqmr,jacobi,14.863,35.6,37.57,38.41,1/3440
cr,jacobi,7.624,32.24,36.75,38.13,3/3442
gcr,jacobi,116.74,39.55,37.96,38.4,1/3440
cg,sor,5.6988,38.6,37.81,38.35,1/3440
gmres,sor,125.05,40.59,38.72,38.6,1/3437
fcg,sor,10.54,38.15,38.25,38.45,3/3438
tcqmr,sor,89.146,40.0,38.73,38.59,1/3439
cgs,sor,9.4819,37.64,38.28,38.45,2/3438
bcgs,sor,8.6814,33.6,37.38,38.15,1/3439
tfqmr,sor,9.2875,33.88,37.23,38.09,1/3439
cr,sor,5.8102,32.95,36.86,37.96,2/3439
gcr,sor,104.3,39.52,37.98,38.24,2/3440
cg,mg,6.4631,38.57,37.82,38.18,2/3438
gmres,mg,66.284,38.12,37.9,38.18,1/3439
fcg,mg,8.6265,35.65,37.37,38.0,1/3439
tcqmr,mg,24.694,37.07,37.52,38.03,1/3438
cgs,mg,9.6529,35.27,37.08,37.88,1/3440
bcgs,mg,10.231,34.96,36.9,37.81,2/3444
tfqmr,mg,9.7499,32.08,36.16,37.54,2/3443
cr,mg,6.5342,31.9,35.97,37.47,1/3440
gcr,mg,77.535,38.16,36.89,37.66,2/3442
cg,bjacobi,4.4346,35.91,36.46,37.5,7/3442
gmres,bjacobi,74.299,39.32,37.31,37.71,2/3441
fcg,bjacobi,7.9568,38.55,37.22,37.67,2/3443
tcqmr,bjacobi,21.756,38.47,37.28,37.67,1/3443
cgs,bjacobi,6.9463,36.47,36.89,37.54,2/3441
bcgs,bjacobi,6.3771,35.7,36.7,37.47,1/3440
tfqmr,bjacobi,7.2355,32.61,35.92,37.2,3/3440
cr,bjacobi,4.7778,30.11,35.21,36.95,1/3441
gcr,bjacobi,102.9,39.41,36.81,37.32,1/3439
cg,jacobi,7.3591,36.58,36.32,37.15,2/3440
gmres,jacobi,86.62,38.17,37.02,37.32,2/3446
fcg,jacobi,16.67,37.68,36.95,37.29,3/3444
tcqmr,jacobi,133.35,37.39,37.6,37.51,1/3438
cgs,jacobi,13.626,35.76,37.22,37.38,1/3440
bcgs,jacobi,12.738,34.18,36.77,37.23,1/3441
tfqmr,jacobi,16.223,34.66,36.68,37.19,2/3440
cr,jacobi,7.6503,32.34,36.03,36.97,1/3441
gcr,jacobi,116.59,39.95,37.34,37.3,1/3442
cg,sor,6.1666,38.89,37.22,37.26,2/3442
gmres,sor,124.8,40.88,38.47,37.71,2/3440
fcg,sor,9.5374,38.07,37.98,37.56,1/3439
tcqmr,sor,89.361,40.29,38.76,37.88,2/3441
cgs,sor,9.4579,39.28,38.6,37.84,2/3442
bcgs,sor,9.1655,35.5,37.77,37.59,2/3441
tfqmr,sor,9.2405,35.44,37.62,37.54,1/3442
cr,sor,6.2179,33.56,37.1,37.37,2/3442
gcr,sor,104.62,39.14,37.93,37.63,3/3442
cg,mg,6.8014,38.05,37.73,37.57,1/3440
gmres,mg,66.574,38.11,37.89,37.64,2/3439
fcg,mg,8.6435,37.4,37.72,37.59,2/3439
tcqmr,mg,24.529,37.62,37.7,37.58,1/3438
cgs,mg,10.131,35.6,37.23,37.43,2/3439
bcgs,mg,11.12,32.69,36.5,37.19,1/3441
tfqmr,mg,9.9835,33.34,36.43,37.15,2/3442
cr,mg,6.9903,33.6,36.32,37.1,2/3440
gcr,mg,79.258,38.64,37.19,37.34,3/3441
cg,bjacobi,4.4148,34.7,36.41,37.08,1/3442
gmres,bjacobi,75.95,38.75,37.21,37.31,1/3439
fcg,bjacobi,8.4358,38.09,37.12,37.27,2/3439
tcqmr,bjacobi,21.553,37.66,37.01,37.23,1/3439
cgs,bjacobi,7.6843,36.89,36.85,37.17,3/3440
bcgs,bjacobi,6.3625,37.07,36.88,37.17,1/3440
tfqmr,bjacobi,7.5503,36.71,36.79,37.14,1/3442
cr,bjacobi,4.2578,35.82,36.59,37.07,1/3442
gcr,bjacobi,102.32,40.08,37.71,37.41,1/3439
cg,jacobi,7.5748,38.93,37.55,37.36,3/3442
gmres,jacobi,87.878,40.22,38.24,37.62,2/3441
fcg,jacobi,16.64,39.8,38.25,37.63,1/3441
tcqmr,jacobi,132.87,40.57,39.01,37.99,1/3438
cgs,jacobi,13.713,39.65,38.87,37.97,2/3441
bcgs,jacobi,12.942,38.63,38.66,37.92,1/3441
tfqmr,jacobi,14.93,36.68,38.2,37.79,3/3440
cr,jacobi,7.6203,34.6,37.67,37.62,1/3441
gcr,jacobi,117.2,38.94,38.45,37.92,3/3443
cg,sor,5.668,37.71,38.19,37.84,2/3442
gmres,sor,124.54,37.35,38.39,37.98,3/3443
fcg,sor,9.5241,36.89,38.21,37.93,1/3444
tcqmr,sor,89.128,41.08,39.24,38.32,1/3440
cgs,sor,9.4524,38.17,38.7,38.17,3/3441
bcgs,sor,8.5127,35.93,38.18,38.0,1/3441
tfqmr,sor,9.7356,35.63,37.98,37.94,1/3441
cr,sor,6.1042,35.68,37.85,37.9,1/3443
gcr,sor,105.4,40.27,38.67,38.18,2/3444
cg,mg,6.9699,36.57,37.89,37.93,1/3441
gmres,mg,70.387,39.53,38.41,38.1,1/3444
fcg,mg,8.6261,38.71,38.27,38.06,1/3444
tcqmr,mg,24.601,38.53,38.22,38.05,1/3440
cgs,mg,9.6543,35.49,37.48,37.8,1/3441
bcgs,mg,10.279,35.28,37.32,37.74,1/3444
tfqmr,mg,9.8903,35.06,37.11,37.66,2/3442
cr,mg,6.863,33.49,36.66,37.51,1/3443
gcr,mg,77.882,37.33,37.2,37.63,4/3442
cg,bjacobi,4.6054,36.35,36.98,37.55,1/3441
gmres,bjacobi,74.571,36.18,37.07,37.55,2/3442
fcg,bjacobi,8.4823,34.14,36.57,37.38,2/3443
tcqmr,bjacobi,21.457,35.35,36.62,37.37,1/3439
cgs,bjacobi,7.0174,32.55,35.9,37.12,3/3442
bcgs,bjacobi,6.3827,33.19,35.86,37.08,2/3440
tfqmr,bjacobi,7.2008,33.72,35.82,37.05,1/3441
cr,bjacobi,4.2624,33.77,35.75,37.01,1/3442
gcr,bjacobi,102.59,39.77,37.22,37.4,1/3442
cg,jacobi,7.2747,38.68,37.08,37.35,1/3442
