ksp_type,pc_type,response,min1,min5,min15,proc
tcqmr,mg,155.98,2.06,2.03,2.22,5/3450
cgs,mg,62.413,1.83,1.97,2.19,2/3450
bcgs,mg,62.67,1.89,1.94,2.16,4/3457
tfqmr,mg,59.192,1.91,1.94,2.15,17/3452
cr,mg,40.257,2.66,2.14,2.21,1/3449
gcr,mg,616.37,2.43,2.41,2.31,2/3449
cg,icc,27.546,2.33,2.39,2.31,1/3450
gmres,icc,341.17,2.43,2.42,2.34,3/3449
fcg,icc,39.148,2.5,2.45,2.35,2/3448
tcqmr,icc,105.48,2.1,2.32,2.32,1/3451
cgs,icc,44.196,2.01,2.26,2.29,2/3454
bcgs,icc,38.948,1.88,2.19,2.27,2/3451
tfqmr,icc,42.028,1.64,2.09,2.23,2/3451
cr,icc,24.758,1.62,2.05,2.21,2/3451
gcr,icc,996.05,2.35,2.64,2.61,1/3449
cg,jacobi,36.634,2.16,2.57,2.58,2/3450
gmres,jacobi,225.68,3.39,2.76,2.64,1/3452
fcg,jacobi,70.26,2.08,2.49,2.56,1/3450
tcqmr,jacobi,233.0,2.31,2.43,2.51,1/3452
cgs,jacobi,67.101,3.35,2.71,2.6,1/3452
bcgs,jacobi,55.478,2.7,2.62,2.58,1/3451
tfqmr,jacobi,65.158,2.27,2.55,2.56,4/3449
cr,jacobi,35.157,2.6,2.59,2.57,2/3449
gcr,jacobi,1320.4,3.3,3.2,2.92,1/3455
cg,sor,32.831,2.85,3.08,2.89,1/3454
gmres,sor,500.83,2.0,2.17,2.51,2/3454
fcg,sor,45.292,1.75,2.07,2.45,2/3456
tcqmr,sor,127.46,2.39,2.15,2.43,1/3457
cgs,sor,49.802,3.94,2.49,2.52,2/3457
bcgs,sor,48.457,2.82,2.39,2.48,1/3456
tfqmr,sor,46.135,2.62,2.38,2.48,1/3456
cr,sor,32.321,2.55,2.39,2.47,2/3461
gcr,sor,1403.0,4.43,4.47,3.94,5/3453
cg,mg,41.554,4.08,4.37,3.94,6/3456
gmres,mg,376.36,4.37,4.42,4.12,4/3452
fcg,mg,49.134,4.07,4.33,4.1,6/3453
tcqmr,mg,154.12,3.86,4.2,4.09,3/3454
cgs,mg,62.186,4.28,4.26,4.11,4/3452
bcgs,mg,63.37,3.85,4.13,4.08,3/3451
tfqmr,mg,60.454,3.8,4.06,4.06,4/3453
cr,mg,41.747,4.14,4.09,4.06,6/3453
gcr,mg,632.72,4.54,4.69,4.44,5/3449
cg,icc,28.776,4.59,4.68,4.44,5/3448
gmres,icc,346.99,3.83,4.17,4.29,4/3450
fcg,icc,38.89,3.99,4.16,4.28,3/3451
tcqmr,icc,105.37,3.98,4.12,4.25,8/3452
cgs,icc,44.632,3.77,4.05,4.22,3/3452
bcgs,icc,38.659,3.79,4.03,4.21,3/3452
tfqmr,icc,44.252,3.77,3.98,4.18,4/3451
cr,icc,25.922,3.7,3.95,4.16,5/3454
gcr,icc,1025.3,4.85,4.82,4.65,3/3448
cg,jacobi,37.32,5.81,5.07,4.74,4/3450
gmres,jacobi,229.27,3.56,4.28,4.49,3/3449
fcg,jacobi,69.707,4.29,4.4,4.52,3/3450
tcqmr,jacobi,230.18,3.65,4.01,4.33,3/3447
cgs,jacobi,67.188,3.5,3.89,4.26,3/3448
bcgs,jacobi,55.815,3.78,3.88,4.24,4/3448
tfqmr,jacobi,66.438,4.04,3.94,4.23,9/3449
cr,jacobi,36.211,4.61,4.1,4.28,8/3453
gcr,jacobi,1342.8,4.87,4.72,4.65,3/3449
